title,date,original_date,url,line_number
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-04-21,4/21/26,https://www.youtube.com/watch?v=P8T28yL2rbA,3
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-04-20,4/20/26,https://www.youtube.com/watch?v=m27yTiBaKlg,8
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-04-21,4/21/26,https://www.youtube.com/watch?v=P8T28yL2rbA,16
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-04-20,4/20/26,https://www.youtube.com/watch?v=m27yTiBaKlg,21
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-04-17,4/17/26,https://www.youtube.com/watch?v=jmUhYDdbxdA,25
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-04-16,4/16/26,https://www.youtube.com/watch?v=k0If-fRW-zA,30
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-04-15,4/15/26,https://www.youtube.com/watch?v=3b8PRjjtjHQ,35
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-04-14,4/14/26,https://www.youtube.com/watch?v=TdkR2LOvjEs,39
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-04-13,4/13/26,https://www.youtube.com/watch?v=QZQpiaJIv0g,44
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-04-10,4/10/26,https://www.youtube.com/watch?v=efOAGLpOWIU,49
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-04-09,4/9/26,https://www.youtube.com/watch?v=EKxhflRrSCg,54
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-04-08,4/8/26,https://www.youtube.com/watch?v=XBpf3dyJm6I,59
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-04-07,4/7/26,https://www.youtube.com/watch?v=jvULALF9nM8,64
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-04-06,4/6/26,https://www.youtube.com/watch?v=R1c3iMXFG1g,69
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-04-01,4/1/26,https://www.youtube.com/watch?v=j2gT-CQ-r2M,80
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-03-31,3/31/26,https://www.youtube.com/watch?v=ItGVyl72plg,85
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-03-29,3/29/26,https://www.youtube.com/watch?v=9qkGUPdu3kQ,90
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-03-27,3/27/26,https://www.youtube.com/watch?v=vzMYCLirvP8,95
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-03-26,3/26/26,https://www.youtube.com/watch?v=lFuKhlBhKk4,100
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-03-25,3/25/26,https://www.youtube.com/watch?v=JP6Kco-2ROw,105
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-03-24,3/24/26,https://www.youtube.com/watch?v=xlePwN9Rx18,110
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-03-23,3/23/26,https://www.youtube.com/watch?v=lQBONuID_Kc,115
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-03-20,3/20/26,https://www.youtube.com/watch?v=Bs3RBV2vDPE,119
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-03-19,3/19/26,https://www.youtube.com/watch?v=6wMfDiuXfso,124
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-03-18,3/18/26,https://www.youtube.com/watch?v=4g4SYW7L-u8,129
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-03-17,3/17/26,https://www.youtube.com/watch?v=PEJ_YPfEvDc,134
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-03-16,3/16/26,https://www.youtube.com/watch?v=6C2t7TJj26Y,139
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-03-04,3/4/26,https://www.youtube.com/watch?v=6dZo52-YmO4,163
Topstep TV: London Open with Aaron Trades - Live Futures Day Trading,2026-03-04,3/4/26,https://www.youtube.com/watch?v=6DSZv3c0RMg,169
